species,rep,water_loss_wk1_g_per_day,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
ERIPUM,1,0.024358467,0.216109733,0.19886206,0.16431951,0.136854151,0.107199971,0.081485671,0.062264877,0.045600467,0.033561944,0.026630673,0.021961185,,,,,,,,
ERIPUM,2,0.023418523,0.213413748,0.203986753,0.172929342,0.146377089,0.118298896,0.092037298,0.068536928,0.049484087,0.035387298,0.027975585,0.022307804,0.018601947,,,,,,,
ERIPUM,3,0.024554528,0.216745249,0.200806237,0.169210859,0.141330297,0.111735205,0.084211837,0.061903501,0.044863552,0.03271896,0.026003715,0.021645949,,,,,,,,
ERISPE,1,0.023409885,0.207061207,0.182672594,0.151499696,0.128212777,0.101670178,0.076140457,0.0545899,0.043192013,0.033280278,0.027420055,0.023006801,0.020185212,,,,,,,
ERISPE,2,0.021336693,0.200661521,0.18429803,0.156786887,0.136772988,0.113892495,0.09152652,0.067175979,0.051304667,0.038882764,0.031753032,0.026901874,0.023594267,,,,,,,
ERISPE,3,0.02167994,0.199728746,0.179988186,0.152424584,0.130999893,0.10686266,0.083938932,0.062657006,0.047969163,0.036619316,,,,,,,,,,
ERIUMB,1,0.022528395,0.204424326,0.184890224,0.158238096,0.133046141,0.105663926,0.083027276,0.062653895,0.04672556,0.035409214,0.029130467,0.024530919,0.021610572,0.018836242,0.015769877,,,,,
ERIUMB,2,0.020923935,0.197946582,0.183558587,0.158959793,0.136227743,0.112131534,0.0921278,0.069970132,0.051479035,0.038411832,0.031088455,0.026062608,0.022903504,,,,,,,
ERIUMB,3,0.021717801,0.204106453,0.188531485,0.162710602,0.139393654,0.114788968,0.093546709,0.070086679,0.052081843,0.039276005,0.032193447,0.027257118,0.024180856,,,,,,,
HEDBOR,1,0.022245166,0.211490729,0.198197949,0.169181194,0.146077712,0.119689079,0.094687509,0.073774128,0.055774566,0.040589867,0.032778508,0.022339028,0.017666813,0.014089648,0.011242517,0.00846839,0.006570302,0.005183238,0.003869178,
HEDBOR,2,0.024231728,0.223255814,0.208370938,0.178789012,0.153494876,0.12652923,0.101089746,0.074560145,0.053633721,0.03619186,0.028125,0.022965116,0.019549419,0.015988372,0.012790698,0.009883721,0.007776163,0.006322674,,
HEDBOR,3,0.023488892,0.219157255,0.204162098,0.176026006,0.151147951,0.124459875,0.100161027,0.074920967,0.054735013,0.038010426,0.029973936,0.024616276,0.021358239,0.017883,0.014552563,0.011801332,0.009991312,,,
HELMUL,1,0.020717917,0.20486565,0.195867102,0.172063907,0.150148874,0.125474219,0.104358025,0.079755991,0.059840232,0.040522876,0.032026144,0.026434277,0.022875817,,,,,,,
HELMUL,2,0.022841685,0.213283975,0.196845547,0.170462818,0.146002207,0.119049961,0.095941952,0.072477995,0.053392183,0.037232149,0.029472485,0.024133267,0.020858546,0.017227878,0.013739589,0.010963195,,,,
HELMUL,3,0.021051447,0.214485278,0.203667548,0.17900096,0.157916291,0.134897385,0.115317122,0.088573021,0.067125152,0.04570528,0.0360341,0.0298732,0.026219643,0.022207895,0.018554338,0.015402249,0.013396375,0.011533777,,
HESCOM,1,0.023885174,0.212949234,0.201624147,0.168843776,0.139381911,0.10921398,0.081234851,0.061516684,0.045753018,0.034102944,0.027748358,0.023017722,0.019769823,0.016521923,,,,,,
HESCOM,2,0.023170138,0.212347258,0.203636445,0.172304405,0.144808681,0.116957744,0.08946202,0.068786417,0.050156294,0.03587667,0.028701336,0.023515203,0.020105144,,,,,,,
HESCOM,3,0.023389179,0.210382514,0.199628303,0.167642651,0.140210733,0.111657895,0.083245173,0.063659689,0.04665826,0.034398207,0.027812807,0.0230489,0.019826258,,,,,,,
KRALAN,1,0.023097753,0.235633476,0.226763895,0.192384026,0.167219712,0.138234315,0.113070001,0.093974466,0.073949202,0.060088409,0.052820859,0.047576234,0.04420469,,,,,,,
KRALAN,2,0.023214155,0.234802376,0.224621053,0.193184014,0.168713317,0.142409372,0.118378654,0.093247987,0.072303293,0.05771064,0.04993767,0.044731246,0.04121141,,,,,,,
KRALAN,3,0.024598809,0.237984945,0.219524768,0.184670064,0.157053344,0.127989027,0.102109424,0.082744007,0.065793283,0.054067748,0.047698321,0.04321077,0.040098437,,,,,,,
LEYCIN,1,0.023129936,0.205478467,0.185180106,0.155400446,0.133673125,0.107488259,0.08346027,0.060007448,0.043568912,0.031634194,0.024732188,0.019843267,0.016823639,0.013588324,0.010928176,0.008268028,0.006470631,0.005032713,0.003882378,0.00280394
LEYCIN,2,0.020891452,0.199504518,0.187697042,0.162299738,0.143023098,0.119083095,0.097401909,0.072660391,0.053264354,0.037379773,0.029146022,0.023681143,0.020402215,0.016758962,0.01413582,0.011294083,0.009618187,0.008088021,0.006995045,
LEYCIN,3,0.021077113,0.200959372,0.187764699,0.162462098,0.142319754,0.118180028,0.095639254,0.071935606,0.05341958,0.037793444,0.030016716,0.024783778,0.021513191,0.017951886,0.015262737,0.012355549,0.010465877,0.008794244,0.007558689,0.006250454
LEYTRI,1,0.022124945,0.209944352,0.202129081,0.172117135,0.149476729,0.123656443,0.101088307,0.074039431,0.055069741,0.03714678,0.02919708,0.02406591,0.02052468,0.01676664,,,,,,
LEYTRI,2,0.022035548,0.210111151,0.200662438,0.171065586,0.147994371,0.122269875,0.099628921,0.074119555,0.055862316,0.036285407,0.027967013,0.022732162,0.019290068,,,,,,,
LEYTRI,3,0.022940714,0.208441935,0.195195178,0.164358413,0.139386114,0.111879786,0.087848697,0.065700029,0.047856936,0.033593976,0.026643498,0.022009847,0.018824211,0.015276571,,,,,,
LINLEW,1,0.023645961,0.207245643,0.194916075,0.161467293,0.135249693,0.107079673,0.08035589,0.05739232,0.041723914,0.030443271,,,,,,,,,,
LINLEW,2,0.022933253,0.205818437,0.196071097,0.164346414,0.140473116,0.114006057,0.087609099,0.062263666,0.045285664,0.033017876,0.026428321,0.021661409,0.01829653,,,,,,,
LINLEW,3,0.023106376,0.214126608,0.205537659,0.176204987,0.152476971,0.125946626,0.100494101,0.072957793,0.052381979,0.036933247,0.029172954,0.023927571,0.020262988,0.016957678,0.01401164,,,,,
LOMDIS,1,0.022773115,0.210403102,0.193078067,0.168054488,0.142738276,0.117056273,0.095324815,0.071325452,0.050991294,0.034457532,0.026410125,0.021289048,0.017631136,,,,,,,
LOMDIS,2,0.023212177,0.208456316,0.188058154,0.158971133,0.130843381,0.100649513,0.07753947,0.060037456,0.045971074,0.034755018,,,,,,,,,,
LOMDIS,3,0.021648781,0.206325083,0.194078629,0.169045303,0.144229085,0.118472065,0.097201947,0.07571472,0.054783616,0.037270227,0.029237227,0.024316109,,,,,,,,
LOMMAC,1,0.022954519,0.20639216,0.186573737,0.159671586,0.13452472,0.106598654,0.083133935,0.062814101,0.045710524,0.033569809,0.02684122,0.021941052,0.018869304,0.016016968,,,,,,
LOMMAC,2,0.021489926,0.205051024,0.193169217,0.169538154,0.146347588,0.121248205,0.099452544,0.075674649,0.05462154,0.03920417,0.031568901,0.026356362,0.023126055,0.019895749,,,,,,
LOMMAC,3,0.022180035,0.208121078,0.191770845,0.166558346,0.143339203,0.118569671,0.097122399,0.07338646,0.052860834,0.036987818,0.029088224,0.02377261,0.020376523,,,,,,,
LUPARG,1,0.023004128,0.195207893,0.166508224,0.134403214,0.109415891,0.079072685,0.057045194,0.041994447,0.034178999,0.026497533,0.021775899,0.01825229,0.014869626,0.012191684,0.010147992,,,,,
LUPARG,2,0.023053907,0.195811147,0.168436429,0.137295051,0.112685446,0.083319006,0.061549301,0.043684459,0.034433795,0.025914093,0.020731274,0.017110401,0.014483493,0.011927583,0.009797657,,,,,
LUPARG,3,0.022116692,0.198730891,0.174767183,0.144297837,0.121471986,0.094463845,0.073080163,0.055734554,0.043914047,0.03396308,,,,,,,,,,
MACCAN,1,0.023707073,0.21026965,0.195332042,0.163014917,0.137080465,0.109711704,0.08270152,0.060496271,0.044320138,0.032917384,0.026893287,0.022160069,,,,,,,,
MACCAN,2,0.02167871,0.202775127,0.198213061,0.168679598,0.14758898,0.12282756,0.097478812,0.071028823,0.051024154,0.036340944,0.028705675,0.02341972,0.019675501,,,,,,,
MACCAN,3,0.022277658,0.203678523,0.191604659,0.161648265,0.138562263,0.112041065,0.086307099,0.065081829,0.047734917,0.034638231,0.027982538,0.023402276,0.019967079,,,,,,,
PASSMI,1,0.0227898,0.206884162,0.187601193,0.161482725,0.13730447,0.109173929,0.083630339,0.064266686,0.047355562,0.035354987,0.028959471,0.024288589,0.02127048,0.018396091,0.015377982,0.012934751,0.011138258,0.009701064,,
PASSMI,2,0.022606634,0.213026876,0.196126274,0.169957762,0.146579674,0.120190865,0.096005023,0.074903334,0.054780438,0.039433103,0.031796152,0.026509032,0.022984286,0.019753268,0.016375386,0.013511529,0.011308562,0.009546189,0.008004112,0.006535468
PASSMI,3,0.021973234,0.207915759,0.192280225,0.167003457,0.144631554,0.119935759,0.096256667,0.073521656,0.054103123,0.039506173,0.032098765,0.027015251,0.023747277,0.020697168,0.017429194,,,,,
PENPAL,1,0.024257052,0.210066878,0.187121577,0.151916649,0.12424428,0.093967195,0.069251531,0.050378881,0.040267511,0.031819782,,,,,,,,,,
PENPAL,2,0.02090669,0.197769953,0.187428352,0.157645129,0.136004511,0.111209551,0.087661656,0.06646118,0.051423122,0.039245892,,,,,,,,,,
PENPAL,3,0.024104747,0.213037488,0.189817845,0.157134305,0.131556849,0.104021594,0.078371626,0.057507389,0.044304256,0.033500109,,,,,,,,,,
PHAHAS,1,0.023670185,0.21316752,0.197225816,0.164549466,0.136335443,0.108048266,0.081370454,0.062593153,0.047476225,0.035844916,,0.024140454,0.020702268,,,,,,,
PHAHAS,2,0.023517602,0.210941421,0.194388973,0.165258765,0.141290959,0.114813652,0.088551445,0.064296838,0.046318205,0.033053703,,0.020362802,0.016777802,0.013551301,0.010468201,0.007815301,0.005449201,,,
PHAHAS,3,0.022867963,0.210035686,0.197542386,0.169420727,0.145814398,0.119586265,0.093358131,0.068513728,0.049959945,0.035976986,,0.023159275,0.019736363,0.016313451,0.013473163,,,,,
PLEJAM,1,0.022061616,0.197119645,0.182233442,0.152256898,0.125825406,0.099689335,0.074808804,0.057756928,0.042688331,0.031388479,0.025036928,0.020457903,0.017134417,,,,,,,
PLEJAM,2,0.022255792,0.226551749,0.21550428,0.187893445,0.165787065,0.141507873,0.116431984,0.09171823,0.070761208,0.054972116,0.047149996,0.041790396,0.037879337,0.034257985,0.03121605,0.028463823,0.026218585,0.024480336,0.023031795,0.021800536
PLEJAM,3,0.020881004,0.219846532,0.21387628,0.187830023,0.166775199,0.142889414,0.118780131,0.094149356,0.073679505,0.056991731,0.048573344,0.042762423,0.038888475,0.035163525,0.031960069,0.028980109,0.02667064,,,
POASEC,1,0.023184774,0.215932154,0.199860786,0.171398318,0.14822724,0.122229255,0.096956118,0.072987707,0.053638736,0.038344448,0.030516092,0.025224703,0.021745433,0.018338649,0.014786895,0.011742534,0.009423021,0.007393447,0.005653813,0.004349087
POASEC,2,0.02305053,0.215793304,0.200767817,0.172255488,0.149056114,0.123091092,0.097926652,0.073490015,0.054439592,0.040538574,0.032896652,0.027874818,0.024526929,0.021106259,,,,,,
POASEC,3,0.022879827,0.215012631,0.200053309,0.171147802,0.148016384,0.121420512,0.095546402,0.073569802,0.054853843,0.03969686,0.032190545,0.027138217,0.02374594,,,,,,,
PSESPI,1,0.017959184,0.198144712,0.194776779,0.173574827,0.156009239,0.135178345,0.114347451,0.091661269,0.072430427,0.0483859,0.036660482,0.03012987,0.025751391,0.021669759,0.018107607,0.014842301,0.012244898,0.010166976,0.0083859,0.006679035
PSESPI,2,0.020268514,0.194074398,0.18564046,0.161306253,0.140393463,0.116059256,0.091943437,0.070521074,0.052194802,0.035087719,0.027371333,0.02256679,0.019145374,0.015651161,0.012812113,,,,,
PSESPI,3,0.028690352,0.200832466,0.195571964,0.170611684,0.150111045,0.125745384,0.10204867,0.079466865,,,,,,,,,,,,
SENCOV,1,0.024340771,0.2144306,0.198760055,0.165402956,0.137334178,0.108251203,0.081993495,0.061096552,0.044045204,0.031657491,0.02484787,0.020428861,0.017313822,,,,,,,
SENCOV,2,0.023902935,0.218105202,0.204903509,0.174637547,0.148149557,0.1212983,0.095900109,0.070719878,0.050784656,0.034437663,0.026155187,0.02092415,0.017364138,0.01387678,0.010825341,0.008064516,0.006102877,0.004504505,0.003269398,
SENCOV,3,0.02366179,0.218921089,0.207974998,0.178033141,0.150792211,0.123697277,0.097259325,0.072208336,0.053288561,0.037520987,0.028688225,0.023286371,0.01963647,0.016205562,,,,,,
SPHGRO,1,0.024103094,0.212230726,0.193984418,0.165298243,0.138525333,0.11033519,0.08058609,0.058915221,0.04350907,0.032242063,0.025722789,0.021045918,,,,,,,,
SPHGRO,2,0.023015534,0.208636169,0.198051482,0.169681915,0.144020058,0.116505558,0.087280925,0.065538122,0.047527433,0.033490095,,,,,,,,,,
SPHGRO,3,0.023445318,0.213295211,0.200927877,0.172343674,0.146976054,0.118963688,0.08952173,0.067370693,0.049177984,0.035382416,0.027948535,0.023445318,0.020157255,,,,,,,
SPHMUN,1,0.02390463,0.21308737,0.199050396,0.162647629,0.135177972,0.104149597,0.079294509,0.061121098,0.045754957,0.034279904,0.027816109,0.023458494,0.020262909,,,,,,,
SPHMUN,2,0.023573162,0.218177807,0.206382065,0.173424928,0.148188948,0.119570365,0.094849129,0.072260402,0.053165674,0.038899919,,,,,,,,,,
SPHMUN,3,0.021899425,0.210588409,0.205743526,0.173882731,0.149837893,0.122548695,0.098946269,0.076744816,0.057292435,0.041660522,0.033180947,0.028166937,0.024480165,,,,,,,
SPOAIR,1,0.024680939,0.218587896,0.20281817,0.171050259,0.143100793,0.113926542,0.087490043,0.062782651,0.045821326,0.033429395,0.02629683,0.021613833,0.01815562,,,,,,,
SPOAIR,2,0.024144432,0.217952436,0.203856562,0.17317326,0.145897731,0.118332178,0.092216742,0.067188892,0.048941415,0.034947796,0.027334687,0.022476798,0.019069026,,,,,,,
SPOAIR,3,0.023067907,0.209685617,0.198961236,0.168254469,0.141976657,0.11562624,0.089929275,0.065974849,0.048210266,0.034052131,0.026210702,0.021418718,0.017933638,,,,,,,
SPOCRY,1,0.023419037,0.206318779,0.181851154,0.153243024,0.127119808,0.097872701,0.074092403,0.055281931,0.042385517,0.032800852,,,,,,,,,,
SPOCRY,2,0.021592164,0.205115237,0.18960281,0.165489488,0.143110144,0.118057583,0.096328481,0.073949137,0.053970089,0.038436529,,,,,,,,,,
SPOCRY,3,0.020579536,0.198421891,0.186557471,0.162859071,0.140463696,0.11553466,0.094152751,0.072770841,0.054365137,0.040249023,,,,,,,,,,
